江西卫视,rtp://239.29.1.158:5000
河北卫视,rtp://239.29.0.124:5000
河北卫视,rtp://239.29.1.68:5001
河南卫视,rtp://239.29.1.69:5001
河南卫视,rtp://239.29.1.165:5000
浙江卫视,rtp://239.29.0.96:5000
浙江卫视,rtp://239.29.1.70:5001
浙江卫视4K,rtp://239.29.1.195:5000
深圳卫视,rtp://239.29.1.71:5001
深圳卫视,rtp://239.29.0.105:5000
深圳卫视4K,rtp://239.29.1.185:5000
湖北卫视,rtp://239.29.1.73:5001
湖北卫视,rtp://239.29.0.107:5000
湖南卫视,rtp://239.29.1.74:5001
湖南卫视,rtp://239.29.0.90:5000
湖南卫视4K,rtp://239.29.1.193:5000
甘肃卫视,rtp://239.29.1.95:5001
甘肃卫视,rtp://239.29.1.160:5000
甘肃卫视,rtp://239.29.1.124:5000
科右中旗,rtp://239.29.0.178:5000
突泉,rtp://239.29.0.174:5000
翁牛特,rtp://239.29.0.186:5000
苏尼特右旗,rtp://239.29.0.191:5000
苏左电视,rtp://239.29.0.190:5000
西藏卫视,rtp://239.29.1.79:5001
西藏卫视,rtp://239.29.1.188:5000
贵州卫视,rtp://239.29.0.104:5000
贵州卫视,rtp://239.29.1.80:5001
赤峰影视,rtp://239.29.0.15:5000
赤峰新闻,rtp://239.29.0.13:5000
赤峰经济,rtp://239.29.0.14:5000
辽宁卫视,rtp://239.29.1.81:5001
辽宁卫视,rtp://239.29.0.109:5000
达茂,rtp://239.29.1.101:5000
通辽城市,rtp://239.29.0.42:5000
通辽新闻,rtp://239.29.0.41:5000
通辽蒙语,rtp://239.29.0.40:5000
鄂尔多斯新闻,rtp://239.29.0.30:5000
鄂尔多斯经济,rtp://239.29.0.31:5000
鄂尔多斯蒙语,rtp://239.29.0.33:5000
重庆卫视,rtp://239.29.0.99:5000
重庆卫视,rtp://239.29.1.157:5000
重庆卫视,rtp://239.29.1.83:5001
金鹰纪实,rtp://239.29.0.92:5000
锡林郭勒1,rtp://239.29.0.38:5000
锡林郭勒2,rtp://239.29.0.39:5000
阿尔山,rtp://239.29.1.112:5000
陕西卫视,rtp://239.29.1.86:5001
青海卫视,rtp://239.29.1.87:5001
额齐纳,rtp://239.29.0.177:5000
黑龙江卫视,rtp://239.29.1.91:5001
