===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-06-25 01:02:51
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
60.26.18.23:85            | CCTV15          |   4.46 Mbps |  67%
120.238.84.45:9901        | 兴宁台             |   0.91 Mbps | 100%
120.238.84.45:9901        | 重庆卫视            |   0.62 Mbps | 100%
58.255.201.220:10443      | CCTV7           |   2.35 Mbps |   0%
58.255.201.220:10443      | 嘉佳卡通            |   4.14 Mbps |  13%
221.205.62.11:9003        | CCTV2           |   8.31 Mbps | 100%
221.205.62.11:9003        | 吉林卫视            |   8.44 Mbps |  92%
120.202.73.48:8888        | 辽宁卫视            |   7.94 Mbps |   0%
120.202.73.48:8888        | CCTV11          |   8.62 Mbps |  11%
183.62.8.58:50085         | 广东新闻            |   0.84 Mbps | 100%
183.62.8.58:50085         | 明珠台             |   4.61 Mbps |  32%
124.165.251.82:85         | CCTV3           |   1.58 Mbps | 100%
124.165.251.82:85         | CCTV15          |   1.37 Mbps | 100%
115.59.0.223:9901         | 广东卫视            |   7.59 Mbps |   0%
115.59.0.223:9901         | CCTV5           |   7.41 Mbps |   0%
114.241.105.149:85        | 广东卫视            |   4.81 Mbps |  92%
114.241.105.149:85        | CCTV6           |   4.91 Mbps |  87%
183.190.222.69:888        | 广东卫视            |   3.13 Mbps | 100%
183.190.222.69:888        | CCTV5           |   0.64 Mbps | 100%
119.166.53.110:85         | CCTV12          |   0.25 Mbps | 100%
119.166.53.110:85         | 湖南卫视            |   0.18 Mbps | 100%
110.241.188.9:808         | 黑龙江卫视           |   1.55 Mbps | 100%
110.241.188.9:808         | 江苏卫视            |   0.84 Mbps | 100%
123.154.44.95:85          | 四川卫视            |   3.18 Mbps | 100%
123.154.44.95:85          | CCTV1           |   4.55 Mbps | 100%
122.224.58.42:85          | 辽宁卫视            |   0.88 Mbps | 100%
122.224.58.42:85          | 深圳卫视            |   0.76 Mbps | 100%
121.19.134.126:808        | 河北卫视            |   0.46 Mbps | 100%
121.19.134.126:808        | CCTV5           |   0.21 Mbps | 100%
121.19.134.160:808        | CCTV5           |   0.26 Mbps | 100%
121.19.134.160:808        | CCTV10          |   0.18 Mbps | 100%
125.43.246.208:9901       | 金鹰卡通            |   3.78 Mbps | 100%
125.43.246.208:9901       | CCTV7军农         |   3.54 Mbps | 100%
223.14.160.57:9901        | CCTV10科教        |   1.48 Mbps | 100%
223.14.160.57:9901        | 贵州卫视            |   0.83 Mbps | 100%
182.207.218.31:999        | 内蒙古卫视           |   2.26 Mbps |   0%
182.207.218.31:999        | 河北卫视            |   0.79 Mbps | 100%
106.115.27.155:9901       | 河北经济            |   1.89 Mbps | 100%
36.40.237.226:9999        | 黑龙江卫视           |    8.4 Mbps |  96%
36.40.237.226:9999        | 东南卫视            |   3.38 Mbps |  72%
36.36.200.39:44330        | 北京卫视            |   0.18 Mbps |   6%
36.36.200.39:44330        | 凤凰卫视中文台         |   0.18 Mbps |   8%
171.43.65.63:9901         | CCTV10科教        |    6.2 Mbps |   0%
171.43.65.63:9901         | 湖北垄上            |   3.49 Mbps |  12%
221.232.197.20:7777       | 重庆卫视            |   3.69 Mbps | 100%
221.232.197.20:7777       | CCTV1           |   3.49 Mbps |   0%
221.232.197.207:7777      | 重庆卫视            |   7.35 Mbps |  55%
221.232.197.207:7777      | CCTV9           |    4.6 Mbps |  39%
42.237.154.36:9003        | 河南新闻            |   0.74 Mbps | 100%
42.237.154.36:9003        | 卡酷少儿            |    1.3 Mbps | 100%
182.114.48.150:9901       | CCTV9纪录         |   6.35 Mbps |  92%
182.114.48.150:9901       | 深圳卫视            |   4.37 Mbps |   0%
123.10.76.101:808         | 嘉佳卡通            |   1.64 Mbps | 100%
123.10.76.101:808         | 家庭影院            |   2.57 Mbps | 100%
171.14.89.131:9901        | 重庆卫视            |   0.25 Mbps | 100%
171.14.89.131:9901        | CCTV12社会与法      |   0.16 Mbps | 100%
182.114.49.72:9901        | CCTV12社会与法      |   2.95 Mbps | 100%
182.114.49.72:9901        | CCTV3综艺         |   3.09 Mbps | 100%
106.115.25.35:9901        | CCTV11          |   1.55 Mbps |  97%
124.228.160.210:9901      | 湖南电影            |   4.66 Mbps |  43%
124.228.160.210:9901      | CCTV11戏曲        |   3.57 Mbps |   0%
221.232.198.64:7777       | 浙江卫视            |   5.12 Mbps |   4%
221.232.198.64:7777       | 湖北卫视            |   4.61 Mbps |  40%
60.223.94.196:9003        | CCTV9           |   4.29 Mbps |   0%
60.223.94.196:9003        | 重庆卫视            |    5.3 Mbps |  29%
106.115.26.112:9901       | 江西卫视            |   1.15 Mbps | 100%
106.115.26.112:9901       | 河北少儿科教          |   1.32 Mbps | 100%
221.13.234.5:9901         | CCTV10          |   3.47 Mbps | 100%
221.13.234.229:9901       | CCTV11          |   1.87 Mbps | 100%
221.13.234.229:9901       | CCTV6电影         |   2.31 Mbps | 100%
125.42.150.56:9901        | 东方卫视            |   0.66 Mbps | 100%
101.66.199.73:85          | 四川卫视            |   7.68 Mbps |  83%
101.66.199.73:85          | 广西卫视            |   2.78 Mbps |   0%
219.137.203.118:9901      | CCTV4国际         |   2.06 Mbps |  92%
219.137.203.118:9901      | CCTV11戏曲        |   1.14 Mbps | 100%
219.137.203.143:9901      | CCTV12社会与法      |   3.86 Mbps |   4%
219.137.203.143:9901      | 广东珠江            |  16.13 Mbps | 100%
219.137.203.215:9901      | 湖北卫视            |   2.13 Mbps | 100%
219.137.203.215:9901      | CCTV15音乐        |   1.03 Mbps | 100%
59.174.116.45:7777        | 黑龙江卫视           |   0.18 Mbps | 100%
